[ 2025-09-18 01:06:32,548 ] 21 root - INFO - Initiate the data ingestion
[ 2025-09-18 01:06:42,673 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-09-18 01:06:42,673 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-18 01:06:42,673 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-18 01:06:42,713 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-18 01:06:42,713 ] 23 root - INFO - Data Initiation Completed
[ 2025-09-18 01:06:42,716 ] 27 root - INFO - Initiate the data Validation
[ 2025-09-18 01:06:42,776 ] 32 root - INFO - Required number of columns:2
[ 2025-09-18 01:06:42,776 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-18 01:06:42,777 ] 32 root - INFO - Required number of columns:2
[ 2025-09-18 01:06:42,777 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-18 01:06:42,871 ] 29 root - INFO - data Validation Completed
[ 2025-09-18 01:06:42,871 ] 32 root - INFO - data Transformation started
[ 2025-09-18 01:06:42,871 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-18 01:06:42,871 ] 65 root - INFO - Starting data transformation
[ 2025-09-18 01:06:42,892 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
